Open,High,Low,Close,Volume,MA3,MA5,RSI,Volatility,Trend
1730412000000,3.95900000,3.95900000,3.95200000,3.95300000,3.952666666666667,3.9438000000000004,100.0,0.013461054936371156,1
1730412900000,3.94800000,3.94900000,3.93300000,3.93400000,3.955666666666666,3.9486,75.0,0.010899541274750997,1
1730413800000,3.93300000,3.94100000,3.93100000,3.93600000,3.9490000000000003,3.9490000000000003,50.0,0.010148891565092162,0
1730414700000,3.93600000,3.95400000,3.93500000,3.95100000,3.9410000000000003,3.9473999999999996,50.0,0.011653325705565737,0
1730415600000,3.95100000,3.95400000,3.94700000,3.95100000,3.9403333333333332,3.9468000000000005,50.0,0.011300442469213261,0
1730416500000,3.95100000,3.96500000,3.95100000,3.96400000,3.946,3.9450000000000003,50.0,0.009192388155425071,0
1730417400000,3.96300000,3.96900000,3.96200000,3.96700000,3.9553333333333334,3.9472,75.0,0.012357184145265427,1
1730418300000,3.96600000,3.96900000,3.96500000,3.96500000,3.9606666666666666,3.9538,75.0,0.012357184145265486,1
1730419200000,3.96500000,3.96500000,3.95800000,3.96300000,3.9653333333333336,3.9596000000000005,50.0,0.007924645102463533,1
1730420100000,3.96400000,3.97000000,1.42200000,3.96500000,3.965,3.9619999999999997,50.0,0.006324555320336729,1
1730421000000,3.96600000,3.96800000,3.94100000,3.94800000,3.9643333333333337,3.9648000000000003,50.0,0.0014832396974191339,1
1730421900000,3.94800000,3.95400000,3.94700000,3.95000000,3.9586666666666663,3.9616,25.0,0.007733045971672489,0
1730422800000,3.94600000,3.94600000,3.93500000,3.94500000,3.954333333333333,3.9582,50.0,0.008467585252006544,0
1730423700000,3.94600000,3.94900000,3.94100000,3.94400000,3.9476666666666667,3.9542,50.0,0.009148770409186149,0
1730424600000,3.94400000,3.94400000,3.92600000,3.92700000,3.946333333333333,3.9503999999999997,25.0,0.0085029406677925,0
1730425500000,3.92700000,3.93900000,3.92600000,3.93600000,3.9386666666666663,3.9427999999999996,25.0,0.00914877040918614,0
1730426400000,3.93600000,3.93700000,3.92300000,3.92800000,3.9356666666666666,3.9403999999999995,25.0,0.009016651263079892,0
1730427300000,3.92600000,3.93500000,3.92500000,3.93500000,3.9303333333333335,3.936,25.0,0.00851469318296315,0
1730428200000,3.93500000,3.93800000,3.93100000,3.93200000,3.933,3.9339999999999997,50.0,0.006892024376045093,0
1730429100000,3.93200000,8.16100000,3.92900000,3.93400000,3.9316666666666666,3.9316000000000004,50.0,0.0040373258476372655,1
1730430000000,3.93200000,3.94800000,3.92800000,3.94300000,3.933666666666667,3.933,50.0,0.003162277660168417,0
1730430900000,3.94300000,3.94900000,3.94200000,3.94900000,3.9363333333333332,3.9344,75.0,0.005504543577809201,1
1730431800000,3.95000000,3.95600000,3.95000000,3.95500000,3.942,3.9385999999999997,75.0,0.007162401831787926,1
1730432700000,3.95600000,3.95600000,3.94700000,3.95000000,3.949,3.9426,100.0,0.009762171889492603,1
1730433600000,3.95000000,3.95200000,3.94400000,3.95100000,3.951333333333333,3.9462,75.0,0.008043631020876041,1
1730434500000,3.95200000,3.95900000,3.95000000,3.95800000,3.952,3.9496,75.0,0.004335896677735774,1
1730435400000,3.96000000,3.96700000,3.96000000,3.96500000,3.953,3.9525999999999994,75.0,0.003781534080237884,1
1730436300000,3.96600000,3.97200000,3.96300000,3.96800000,3.958,3.9558,75.0,0.006058052492344288,1
1730437200000,3.96300000,3.96600000,3.96300000,3.96500000,3.9636666666666667,3.9584,100.0,0.008080841540334668,1
1730438100000,3.96400000,3.96900000,3.95700000,3.95700000,3.9659999999999997,3.9614000000000003,75.0,0.006877499545619667,1
1730439000000,3.95700000,3.95900000,3.95300000,3.95800000,3.9633333333333334,3.9625999999999997,50.0,0.004827007354458824,0
1730439900000,3.95700000,3.95900000,3.94500000,3.94500000,3.9599999999999995,3.9626000000000006,50.0,0.004827007354458824,0
1730440800000,3.94400000,3.94400000,3.92700000,3.92700000,3.953333333333333,3.9585999999999997,25.0,0.008905054744357306,0
1730441700000,3.92800000,3.93100000,3.91300000,3.91400000,3.9433333333333334,3.9503999999999997,25.0,0.0149264865256362,0
1730442600000,3.91300000,3.92300000,3.91300000,3.92100000,3.9286666666666665,3.9402,25.0,0.01925357109733147,0
1730443500000,3.92100000,3.92600000,3.90600000,3.90600000,3.920666666666667,3.933,25.0,0.018096961070853883,0
1730444400000,3.90500000,3.91800000,3.89800000,3.89800000,3.9136666666666664,3.9226,25.0,0.014774978849392533,0
1730445300000,3.89800000,3.91600000,3.89400000,3.91600000,3.908333333333333,3.9132000000000007,25.0,0.01156287161564973,0
1730446200000,3.91600000,3.92200000,3.91200000,3.91600000,3.9066666666666667,3.911,50.0,0.009055385138137303,1
1730447100000,3.91600000,3.92000000,3.91000000,3.91900000,3.91,3.9113999999999995,25.0,0.009262828941527395,0
1730448000000,3.91900000,3.92700000,3.91900000,3.92500000,3.917,3.911,50.0,0.008774964387392042,1
1730448900000,3.92700000,3.93500000,3.92500000,3.93400000,3.92,3.9148000000000005,75.0,0.010084641788382866,1
1730449800000,3.93300000,3.94100000,3.93200000,3.93800000,3.9259999999999997,3.9219999999999997,75.0,0.0076485292703892495,1
1730450700000,3.93800000,3.94400000,3.93800000,3.94200000,3.9323333333333337,3.9263999999999997,100.0,0.009449867723942063,1
1730451600000,3.94200000,3.95000000,3.93800000,3.94600000,3.938,3.9316000000000004,100.0,0.009449867723942063,1
1730452500000,3.94500000,3.95000000,3.94100000,3.94200000,3.942,3.9370000000000003,100.0,0.008062257748298681,1
1730453400000,3.94300000,3.94400000,3.94200000,3.94200000,3.9433333333333334,3.9403999999999995,75.0,0.004560701700396556,1
1730454300000,3.94300000,3.94900000,3.94300000,3.94600000,3.9433333333333334,3.942,50.0,0.0028284271247461927,1
1730455200000,3.94600000,3.94800000,3.94300000,3.94700000,3.9433333333333334,3.9436,50.0,0.0021908902300206666,1
