Open,High,Low,Close,Volume,MA3,MA5,MA15,RSI,Volatility,Trend
1730497140000,0.00008901,0.00008904,0.00008884,0.00008904,8.916666666666666e-05,8.942e-05,8.986999999999998e-05,37.93103448275872,4.061491633096678e-07,0
1730497320000,0.00008906,0.00008908,0.00008888,0.00008892,8.908333333333333e-05,8.923799999999999e-05,8.978466666666665e-05,35.77981651376159,4.3806174820234556e-07,0
1730497500000,0.00008895,0.00008902,0.00008848,0.00008851,8.897333333333332e-05,8.909200000000001e-05,8.969933333333332e-05,40.98360655737694,4.7452934075575963e-07,0
1730497680000,0.00008852,0.00008854,0.00008832,0.00008837,8.882333333333333e-05,8.8936e-05,8.958533333333332e-05,36.65689149560118,5.412270010510067e-07,0
1730497860000,0.00008839,0.00008844,0.00008835,0.00008838,8.86e-05,8.876e-05,8.946533333333333e-05,38.343558282208484,5.988186783357797e-07,0
1730498040000,0.00008837,0.00008866,0.00008836,0.00008866,8.842000000000001e-05,8.8644e-05,8.936533333333333e-05,35.369774919614244,6.47863154274625e-07,0
1730498220000,0.00008865,0.00008865,0.00008865,0.00008865,8.847e-05,8.8568e-05,8.927933333333333e-05,39.274924471299144,6.503237289081125e-07,0
1730498400000,0.00008859,0.00008864,0.00008842,0.00008864,8.856333333333333e-05,8.851400000000001e-05,8.917933333333334e-05,39.393939393939384,6.215702082705735e-07,0
1730498580000,0.00008865,0.00008947,0.00008865,0.00008939,8.865e-05,8.854e-05,8.908000000000001e-05,42.34527687296436,5.761944116355165e-07,0
1730498760000,0.00008940,0.00008950,0.00008940,0.00008948,8.889333333333332e-05,8.8744e-05,8.904666666666667e-05,61.26914660831498,5.392675808998009e-07,0
1730498940000,0.00008940,0.00008940,0.00008934,0.00008937,8.917e-05,8.8964e-05,8.900933333333334e-05,56.45412130637633,4.819227363483941e-07,0
1730499120000,0.00008936,0.00008940,0.00008934,0.00008938,8.941333333333333e-05,8.910600000000001e-05,8.897066666666667e-05,59.37840785169043,4.203989035371497e-07,0
1730499300000,0.00008933,0.00008943,0.00008933,0.00008936,8.941e-05,8.9252e-05,8.895266666666668e-05,59.00846432889981,3.9419840303124133e-07,1
1730499480000,0.00008936,0.00008941,0.00008920,0.00008925,8.937e-05,8.939600000000001e-05,8.895733333333334e-05,59.43970767356877,3.988638626804654e-07,1
1730499660000,0.00008919,0.00008919,0.00008891,0.00008895,8.932999999999999e-05,8.9368e-05,8.895733333333333e-05,63.62451108213822,3.988638626804654e-07,1
1730499840000,0.00008889,0.00008897,0.00008888,0.00008896,8.918666666666668e-05,8.9262e-05,8.895666666666665e-05,62.52285191956109,3.9886744426593443e-07,0
1730500020000,0.00008898,0.00008898,0.00008885,0.00008888,8.905333333333334e-05,8.917999999999998e-05,8.89513333333333e-05,58.007566204287656,3.982078901899409e-07,1
1730500200000,0.00008885,0.00008908,0.00008885,0.00008907,8.892999999999999e-05,8.908000000000001e-05,8.894866666666664e-05,66.28242074927948,3.9856647889058387e-07,1
1730500380000,0.00008902,0.00008903,0.00008877,0.00008890,8.897000000000001e-05,8.9022e-05,8.898599999999998e-05,67.67676767676784,3.803532192956592e-07,1
1730500560000,0.00008884,0.00008902,0.00008884,0.00008896,8.895000000000001e-05,8.8952e-05,8.902133333333332e-05,68.64516129032275,3.416946562286832e-07,1
1730500740000,0.00008896,0.00008906,0.00008896,0.00008906,8.897666666666668e-05,8.8954e-05,8.905999999999998e-05,64.62882096069893,2.933306276931499e-07,1
1730500920000,0.00008900,0.00008908,0.00008895,0.00008904,8.897333333333334e-05,8.8974e-05,8.908666666666666e-05,60.19900497512455,2.717579455183983e-07,1
1730501100000,0.00008900,0.00008913,0.00008900,0.00008912,8.902e-05,8.900600000000001e-05,8.911266666666666e-05,59.900990099009825,2.44261764350889e-07,1
1730501280000,0.00008913,0.00008917,0.00008905,0.00008914,8.907333333333333e-05,8.9016e-05,8.914466666666667e-05,40.0000000000002,2.0642766518173116e-07,0
1730501460000,0.00008914,0.00008928,0.00008914,0.00008922,8.910000000000001e-05,8.9064e-05,8.9128e-05,36.71875000000001,1.9497985243902256e-07,0
1730501640000,0.00008921,0.00008931,0.00008920,0.00008931,8.916000000000001e-05,8.9116e-05,8.911066666666669e-05,37.07865168539314,1.716086355913474e-07,0
1730501820000,0.00008930,0.00008930,0.00008930,0.00008930,8.922333333333334e-05,8.9166e-05,8.910666666666667e-05,40.29850746268641,1.6573070526207991e-07,0
1730502000000,0.00008923,0.00008924,0.00008910,0.00008915,8.927666666666666e-05,8.9218e-05,8.910133333333332e-05,40.64516129032271,1.573833657332425e-07,0
1730502180000,0.00008913,0.00008934,0.00008913,0.00008934,8.925333333333334e-05,8.922400000000001e-05,8.908733333333336e-05,39.293139293139205,1.4124278321218276e-07,0
1730502360000,0.00008932,0.00008937,0.00008928,0.00008933,8.926333333333334e-05,8.9264e-05,8.909333333333334e-05,51.44291091593496,1.5026959899112e-07,1
1730502540000,0.00008934,0.00008940,0.00008929,0.00008940,8.927333333333333e-05,8.9286e-05,8.911866666666669e-05,57.995226730310485,1.56290328128986e-07,1
1730502720000,0.00008937,0.00008939,0.00008937,0.00008939,8.935666666666667e-05,8.9304e-05,8.914800000000001e-05,57.59162303664967,1.6540858502508144e-07,1
1730502900000,0.00008933,0.00008934,0.00008933,0.00008934,8.937333333333333e-05,8.9322e-05,8.9182e-05,58.309859154929526,1.58664065604929e-07,1
1730503080000,0.00008914,0.00008926,0.00008914,0.00008924,8.937666666666666e-05,8.936e-05,8.92e-05,67.42671009771918,1.6035674514745262e-07,1
1730503260000,0.00008919,0.00008919,0.00008904,0.00008909,8.932333333333332e-05,8.934e-05,8.922266666666668e-05,64.28571428571459,1.3729356798307568e-07,1
1730503440000,0.00008907,0.00008926,0.00008907,0.00008926,8.922333333333334e-05,8.9292e-05,8.923133333333333e-05,58.56353591160213,1.228743066637402e-07,1
1730503620000,0.00008916,0.00008921,0.00008915,0.00008921,8.919666666666667e-05,8.926399999999999e-05,8.924466666666667e-05,59.32203389830497,1.1344392363420585e-07,1
1730503800000,0.00008922,0.00008931,0.00008918,0.00008930,8.918666666666668e-05,8.9228e-05,8.9256e-05,60.933660933660725,9.912474103731156e-08,1
1730503980000,0.00008915,0.00008918,0.00008915,0.00008918,8.925666666666666e-05,8.922e-05,8.9268e-05,63.44827586206895,9.213344359444755e-08,1
1730504160000,0.00008915,0.00008927,0.00008915,0.00008927,8.923e-05,8.9208e-05,8.927066666666667e-05,62.814645308924234,8.867812314099493e-08,0
1730504340000,0.00008917,0.00008917,0.00008915,0.00008915,8.925000000000001e-05,8.9244e-05,8.9274e-05,62.81464530892477,8.757037985855371e-08,0
1730504520000,0.00008917,0.00008928,0.00008917,0.00008928,8.92e-05,8.9222e-05,8.926333333333334e-05,59.09580193756724,9.247908386430384e-08,0
1730504700000,0.00008918,0.00008925,0.00008916,0.00008925,8.923333333333334e-05,8.923600000000001e-05,8.926199999999999e-05,61.79540709812103,9.205588364838877e-08,1
1730504880000,0.00008916,0.00008927,0.00008916,0.00008926,8.922666666666666e-05,8.9226e-05,8.926866666666667e-05,60.7361963190187,8.683865718072994e-08,0
1730505060000,0.00008928,0.00008931,0.00008924,0.00008931,8.926333333333332e-05,8.924199999999998e-05,8.926333333333334e-05,54.23728813559309,8.457175032113833e-08,0
1730505240000,0.00008933,0.00008934,0.00008930,0.00008932,8.927333333333333e-05,8.924999999999999e-05,8.926199999999999e-05,53.33333333333307,8.359767597589907e-08,0
1730505420000,0.00008934,0.00008938,0.00008934,0.00008938,8.929666666666668e-05,8.9284e-05,8.925666666666667e-05,47.00854700854744,7.640742920747411e-08,0
1730505600000,0.00008936,0.00008947,0.00008932,0.00008947,8.933666666666667e-05,8.9304e-05,8.9256e-05,44.525547445255725,7.519498463518522e-08,1
1730505780000,0.00008942,0.00008957,0.00008941,0.00008957,8.939e-05,8.934800000000001e-05,8.926466666666666e-05,45.27813712807182,9.13288146257923e-08,1
1730505960000,0.00008959,0.00008961,0.00008956,0.00008961,8.947333333333334e-05,8.940999999999999e-05,8.928666666666664e-05,49.99999999999937,1.2015862531709973e-07,1
1730506140000,0.00008962,0.00008980,0.00008962,0.00008980,8.955e-05,8.947e-05,8.932133333333331e-05,45.5782312925169,1.3362349379969955e-07,1
1730506320000,0.00008985,0.00008988,0.00008967,0.00008974,8.965999999999999e-05,8.9566e-05,8.935733333333331e-05,46.48648648648607,1.804544527680318e-07,1
1730506500000,0.00008975,0.00008984,0.00008967,0.00008968,8.971666666666667e-05,8.9638e-05,8.939266666666667e-05,48.27586206896537,2.0033780994919184e-07,1
1730506680000,0.00008963,0.00008979,0.00008961,0.00008979,8.974e-05,8.968e-05,8.941799999999999e-05,53.28719723183331,2.1149805807956922e-07,1
1730506860000,0.00008974,0.00009002,0.00008974,0.00009002,8.973666666666668e-05,8.9724e-05,8.945866666666666e-05,53.92491467576741,2.2090290907567436e-07,1
1730507040000,0.00009000,0.00009016,0.00009000,0.00009010,8.983e-05,8.980600000000001e-05,8.950866666666664e-05,64.9681528662415,2.5706771388840275e-07,1
1730507220000,0.00009019,0.00009019,0.00009014,0.00009014,8.997e-05,8.986600000000001e-05,8.957199999999999e-05,63.81578947368363,2.785216072664478e-07,1
1730507400000,0.00009012,0.00009014,0.00009010,0.00009010,9.008666666666666e-05,8.994600000000001e-05,8.962933333333334e-05,58.381502890172406,3.0167311226999735e-07,1
1730507580000,0.00009003,0.00009007,0.00009002,0.00009007,9.011333333333333e-05,9.002999999999999e-05,8.968600000000001e-05,63.02521008403212,3.051416532881542e-07,1
1730507760000,0.00009006,0.00009015,0.00009006,0.00009009,9.010333333333334e-05,9.008599999999999e-05,8.974e-05,66.66666666666572,2.9590056244816775e-07,1
1730507940000,0.00009003,0.00009014,0.00009003,0.00009013,9.008666666666667e-05,9.01e-05,8.979200000000001e-05,66.89895470383169,2.8320108958627997e-07,1
1730508120000,0.00009014,0.00009014,0.00008996,0.00008996,9.009666666666667e-05,9.0106e-05,8.9846e-05,66.43109540635959,2.632977673390225e-07,1
1730508300000,0.00008990,0.00008993,0.00008983,0.00008983,9.006e-05,9.007000000000001e-05,8.988466666666666e-05,56.74232309746273,2.3052321440790347e-07,1
1730508480000,0.00008986,0.00009003,0.00008986,0.00009003,8.997333333333333e-05,9.0016e-05,8.990866666666666e-05,53.44418052256504,2.011348753827583e-07,1
1730508660000,0.00008996,0.00009003,0.00008995,0.00009000,8.994e-05,9.000800000000001e-05,8.993933333333336e-05,58.20895522388018,1.7974055376198842e-07,1
1730508840000,0.00008995,0.00008998,0.00008995,0.00008996,8.995333333333335e-05,8.999e-05,8.996533333333334e-05,58.06451612903222,1.5523561201636388e-07,1
1730509020000,0.00008991,0.00008994,0.00008989,0.00008991,8.999666666666667e-05,8.9956e-05,8.997600000000001e-05,59.01639344262239,1.4841062726676325e-07,1
1730509200000,0.00008996,0.00009001,0.00008994,0.00008995,8.995666666666667e-05,8.994600000000001e-05,8.998733333333334e-05,59.50413223140478,1.3498500798589602e-07,1
1730509380000,0.00008985,0.00008994,0.00008985,0.00008991,8.994e-05,8.997000000000001e-05,9.000533333333335e-05,57.01754385964885,1.0595596569644607e-07,1
1730509560000,0.00008994,0.00009003,0.00008991,0.00009003,8.992333333333333e-05,8.994600000000001e-05,9.001333333333333e-05,51.376146788991285,9.216961590045876e-08,0
1730509740000,0.00008996,0.00008996,0.00008995,0.00008995,8.996333333333334e-05,8.9952e-05,9.001400000000001e-05,53.644314868805324,9.225740388407095e-08,0
