الرمز,الكمية,السعر الابتدائي,سعر الهدف,سعر الإيقاف,الوقت,النتيجة,الرصيد المتبقي
RAREUSDC,43.1,0.1391,0.13995943286025067,0.13880938356987466,2024-11-02 07:42:20.921342,خسارة,83.92124082
TNSRUSDC,14.2,0.4234,0.4259455878087416,0.4225506060956292,2024-11-02 07:46:07.042531,انتهاء المهلة,89.93034569999999
PIXELUSDC,38.4,0.1563,0.15723912048618519,0.15598673975690738,2024-11-02 16:21:40.590324,ربح,78.02778816
YGGUSDC,13.6,0.4425,0.4451604218360136,0.44161228908199324,2024-11-02 16:26:42.690872,انتهاء المهلة,84.05063928
REZUSDC,183.2,0.03276,0.0329565537226955,0.032694483138652246,2024-11-02 16:26:43.194210,انتهاء المهلة,90.079212672
ALTUSDC,66.0,0.09126,0.09180854464284746,0.09107698767857626,2024-11-02 16:30:58.787793,خسارة,90.077162712
STRKUSDC,16.81,0.3569,0.3590455428908466,0.35618412855457665,2024-11-02 16:32:35.747927,ربح,90.10327656
RAREUSDC,70.8,0.113,0.11356595467011471,0.11277352266494266,2024-11-02 23:52:04.542121,ربح,82.06127464000001
PIXELUSDC,52.2,0.1533,0.15406779514096092,0.15299275242951954,2024-11-02 23:57:05.594472,انتهاء المهلة,90.06074716
ARKMUSDC,6.4,1.567,1.5770114757661922,1.563561262116904,2024-11-03 01:06:10.041331,انتهاء المهلة,90.00237759999999
ARKMUSDC,6.4,1.563,1.572784627131575,1.5596706864342125,2024-11-03 01:11:14.859315,انتهاء المهلة,90.03032959999999
RAREUSDC,85.8,0.1165,0.11709059437278156,0.11632120281360922,2024-11-03 01:43:49.731095,خسارة,89.9328472
FETUSDC,8.4,1.188,1.1940814388616272,1.1861472805691864,2024-11-03 02:17:30.538846,خسارة,39.8924376
SUIUSDC,5.2,1.9156,1.9259121654708455,1.912359517264577,2024-11-03 02:18:32.749520,خسارة,39.81541468
RUNEUSDC,1.8,5.503,5.534386350039949,5.492809824980026,2024-11-03 02:19:11.861759,خسارة,39.677532680000006
SEIUSDC,27.3,0.3658,0.36764491434367413,0.36524334282816295,2024-11-03 02:19:55.841564,خسارة,29.61206818000001
ENAUSDC,27.99,0.3573,0.3590945630659356,0.3567600184670322,2024-11-03 02:21:33.382375,انتهاء المهلة,29.595690554000008
XRPUSDC,20.0,0.5096,0.5121589950756226,0.5088301024621887,2024-11-03 02:22:02.755487,انتهاء المهلة,29.75351255400001
FETUSDC,8.4,1.186,1.1920287923233028,1.1841716038383485,2024-11-03 02:22:37.765848,انتهاء المهلة,19.677558554000015
SUIUSDC,5.2,1.912,1.9223004971538944,1.9087617514230526,2024-11-03 02:23:37.379699,انتهاء المهلة,29.606899274000014
RUNEUSDC,1.8,5.49,5.520708466495166,5.480135766752418,2024-11-03 02:24:19.575755,انتهاء المهلة,9.463402874000016
WIFUSDC,4.62,2.164,2.1756579791687902,2.160335010415605,2024-11-03 02:24:53.554410,انتهاء المهلة,19.469546714000018
SEIUSDC,27.4,0.365,0.36683905866177363,0.36444547066911315,2024-11-03 02:25:01.833270,انتهاء المهلة,29.455071194000016
SUIUSDC,5.2,1.9102,1.9203922152024873,1.9070140923987562,2024-11-03 02:25:29.782866,خسارة,19.339476874000013
WLDUSDC,5.6,1.792,1.8013063373301839,1.7891388313349081,2024-11-03 02:25:37.248788,خسارة,29.347858474000013
FETUSDC,8.4,1.187,1.1930546457936686,1.1851596771031658,2024-11-03 02:25:53.583011,خسارة,19.271904474000017
XRPUSDC,20.0,0.5086,0.5111548224692074,0.5078311887653963,2024-11-03 02:27:11.401470,انتهاء المهلة,29.433732474000017
NEARUSDC,2.6,3.779,3.799538081357615,3.772509959321192,2024-11-03 02:27:11.887604,انتهاء المهلة,39.251904474000014
ADAUSDC,28.9,0.3456,0.3473342740486571,0.34507846297567146,2024-11-03 02:28:45.894607,انتهاء المهلة,29.218417964000018
WIFUSDC,4.62,2.166,2.1775991195025624,2.162366440248719,2024-11-03 02:30:07.304162,انتهاء المهلة,19.20917718400002
SEIUSDC,27.4,0.3647,0.36653940350745073,0.36414499824627466,2024-11-03 02:30:07.787242,انتهاء المهلة,29.194701664000018

SUIUSDC,4.2,1.9112,1.9194751690089469,1.9092572815495528,2024-11-03 02:41:59.789412,خسارة,9.918845140000036
ADAUSDC,23.1,0.3468,0.3482188328491881,0.3464516183575406,2024-11-03 02:46:57.299467,انتهاء المهلة,17.931144820000036
DOGEUSDC,51.0,0.15815,0.158788845636952,0.1579915377181524,2024-11-03 02:46:57.783837,انتهاء المهلة,26.000447440000038
ARBUSDC,15.9,0.5022,0.5042325057173478,0.5016966147141326,2024-11-03 02:46:58.267290,انتهاء المهلة,33.98538451000004
